Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
20--2415,2020/02/15,7:46 PM,TENTH LINE RD @ VANGUARD DR (0004632),4632,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,384072.7561,5035874.548,45.45830188,-75.48638369,1030
20--2416,2020/02/15,8:41 PM,CARLING AVE @ KIRKWOOD AVE N (0002358),2358,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,364275.6812,5027493.532,45.38485721,-75.74050347,1031
20--2417,2020/02/15,8:42 PM,WALKLEY RD @ HEATHERINGTON RD (0006928),6928,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,371766.7221,5026794.524,45.3778917,-75.6449488,1032
20--2418,2020/02/15,9:00 AM,WOODROFFE AVE btwn FIRESTATION & BASELINE RD (__3ZA34KB),__3ZA34KB,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,362543.5571,5023786.278,45.35164464,-75.7630539,1033
20--2419,2020/02/15,9:15 AM,INNES RD @ WILDFLOWER DR (0012871),12871,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,382936.7488,5035690.548,45.45677437,-75.50093618,1034
20--242,2020/01/06,8:30 AM,ROCKCLIFFE PKWY btwn ACACIA AVE & HILLSDALE RD (__3ZA21Z),__3ZA21Z,01 - Non intersection,03 - P.D. only,07 - SMV other,03 - Snow,01 - Daylight,06 - Ice,10 - No control,,1,0,0,0,,0,,,,,368852.3672,5035572.158,45.45714224,-75.68101528,1035
20--2420,2020/02/15,9:22 AM,RIVERSIDE DR @ TREMBLAY RD/HWY417 IC117 RAMP52 (0010790),10790,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,370802.0802,5031015.903,45.41596561,-75.65669948,1036
20--2421,2020/02/15,9:27 AM,BOUNDARY RD @ MITCH OWENS RD (0001708),1708,02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,1,0,0,0,,0,,,,,388065.829,5022162.461,45.33446915,-75.43764956,1037
20--2422,2020/02/15,9:29 AM,INNES RD @ ORLEANS BLVD (0003611),3611,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,380460.7843,5034296.386,45.44450327,-75.53280392,1038
20--2423,2020/02/15,9:30 PM,TENTH LINE RD @ CHARLEMAGNE BLVD S/DES EPINETT (0003686),3686,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,383640.9751,5036900.456,45.46758093,-75.49173924,1039
20--2424,2020/02/15,9:31 AM,MER BLEUE RD @ 210 S OF INNES RD (0012453),12453,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,382729.7174,5035375.791,45.45396558,-75.50363278,1040
20--2425,2020/02/15,9:37 PM,CAMPEAU DR @ TERON RD/COLCHESTER SQ (0009033),9033,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,3,2,1,,,352563.725,5020467.524,45.32253264,-75.89073281,1041
20--2426,2020/02/15,9:48 AM,SECOND LINE RD btwn LAHEY CRT & MARCH RD (__3ZAC41),__3ZAC41,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,345834.1324,5025606.68,45.36920195,-75.97614426,1042
20--2427,2020/02/16,1:00 PM,SIMARD DR btwn CHAPEL PARK PRIV & BROUSSEAU CRES (__3ZA1PI),__3ZA1PI,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,381406.3758,5035180.216,45.45235228,-75.52058026,1043
20--2428,2020/02/16,1:18 PM,CAMBRIDGE ST @ POWELL AVE (0007915),7915,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,367285.7194,5029434.562,45.40206003,-75.70182352,1044
20--2429,2020/02/16,1:55 PM,FALLOWFIELD RD @ SHEA RD (0000130),130,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,354014.6162,5011021.374,45.23743366,-75.87316321,1045
20--243,2020/01/06,8:32 AM,FLAMBOROUGH WAY @ KLONDIKE RD (0012605),12605,03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,03 - Loose snow,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,349078.5169,5023886.717,45.35352789,-75.93488139,1046
20--2430,2020/02/16,10:18 AM,CYRVILLE RD @ INNES RD (0009352),9352,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,375047.719,5031119.563,45.41648494,-75.60244518,1047
20--2431,2020/02/16,11:00 AM,BRONSON AVE btwn FIRST AVE & SECOND AVE (__3ZA3OO),__3ZA3OO,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,367491.9778,5029230.958,45.40020962,-75.69921496,1048
20--2432,2020/02/16,11:09 PM,HIGHWAY 417 btwn HWY417 IC126 RAMP51 & HWY417 IC126 RAMP25 (__3ZA2RD),__3ZA2RD,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,363273.4822,5025972.599,45.37125644,-75.75348042,1049
20--2433,2020/02/16,Unknown,STRATHBURY ST btwn SADDLEBROOK ST & CENTREPOINTE DR (__3ZA5QD),__3ZA5QD,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,361980.7877,5022314.035,45.33844359,-75.7704058,1050
20--2434,2020/02/16,Unknown,IRIS ST btwn SOUTHWOOD DR & BAXTER RD (__3ZABJD),__3ZABJD,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,360952.72,5023525.078,45.34942356,-75.78338484,1051
20--2435,2020/02/16,12:20 PM,OTTAWA RIVER PKWY OFFR-EB @ PARKDALE AVE (0011241),11241,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,03 - Yield sign,01 - Functioning,2,0,0,0,,0,,,,,364683.9988,5030331.407,45.41035703,-75.73494525,1052
20--2436,2020/02/16,12:50 PM,HIGHWAY 417 btwn HWY417 IC127 RAMP67 & HWY417 IC126 RAMP16 (__3ZA2X0),__3ZA2X0,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,362396.1982,5025064.515,45.36315824,-75.76478547,1053
20--2437,2020/02/16,2:22 PM,HYDE PARK WAY @ CENTREPOINTE DR (0000699),699,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,361771.6832,5022721.503,45.34212698,-75.77302671,1054
20--2438,2020/02/16,4:00 AM,FRANKTOWN RD btwn MUNSTER RD & GREEN'S RD (__3ZA3EU),__3ZA3EU,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,350888.5503,5000917.914,45.14672976,-75.91391103,1055
20--2439,2020/02/16,4:00 PM,KING EDWARD AVE @ GEORGE ST (0008239),8239,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,00 - Unknown,3,0,0,0,,0,,,,,368462.0895,5032481.861,45.4293726,-75.68640472,1056
20--244,2020/01/06,8:37 AM,HAZELDEAN RD @ HWY 7 HAZELDEAN IC RAMP 24 (0010663),10663,02 - Intersection related,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,03 - Loose snow,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,346573.3055,5012282.579,45.2492634,-75.96783129,1057
20--2440,2020/02/16,4:00 PM,FRANKLIN CATHCART CRES btwn WEST RIDGE DR & WEST RIDGE DR (__3EWGCH),__3EWGCH,04 - At/near private drive,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,350069.7956,5012480.356,45.25082684,-75.92327212,1058
20--2441,2020/02/16,4:45 PM,HIGHWAY 417 btwn HWY417 IC122 RAMP16 & HWY417 IC122 RAMP61 (__3ZA2RA),__3ZA2RA,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,365507.5937,5029013.309,45.39842614,-75.72458656,1059
20--2442,2020/02/16,4:49 AM,RIDEAU ST btwn NELSON ST & FRIEL ST (__3ZA3WJ),__3ZA3WJ,01 - Non intersection,02 - Non-fatal injury,01 - Approaching,01 - Clear,07 - Dark,02 - Wet,10 - No control,,2,0,0,0,02 - Minor,1,,1,,,368754.3352,5032560.273,45.43005146,-75.68266005,1060
20--2443,2020/02/16,5:00 PM,BRONSON AVE @ SOMERSET ST (0002218),2218,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,366967.6855,5030476.57,45.41146403,-75.70575422,1061
20--2444,2020/02/16,5:08 PM,KATIMAVIK RD @ AIRD PL/CHIMO DR W (0011977),11977,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,352170.5904,5019158.466,45.31078008,-75.89587248,1062
20--2445,2020/02/16,5:13 PM,DONNELLY DR btwn JOE DREW LANE & WEEDMARK RD (__3ZAZAZ),__3ZAZAZ,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,362484.007,4984433.838,44.99754801,-75.76836235,1063
20--2446,2020/02/16,5:34 AM,ARMSTRONG ST @ PARKDALE AVE (0006267),6267,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,365090.6928,5029404.549,45.40198246,-75.7298633,1064
20--2447,2020/02/16,6:15 PM,HWY417 IC118 RAMP57 btwn HIGHWAY 417 & HWY417 IC118 RAMP52 (__3ZAY9S),__3ZAY9S,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,369185.4008,5030836.778,45.41450454,-75.67737683,1065
20--2448,2020/02/16,8:43 PM,HIGHWAY 417 btwn HWY417 IC122 RAMP15 & HWY417 IC121B RAMP51 (__3ZA2RB),__3ZA2RB,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,3,0,0,0,02 - Minor,1,,1,,,366025.5117,5029296.842,45.40093221,-75.71793666,1066
20--2449,2020/02/16,8:45 PM,HIGHWAY 417 btwn HWY417 IC122 RAMP15 & HWY417 IC121B RAMP51 (__3ZA2RB),__3ZA2RB,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,365962.9311,5029264.706,45.40064852,-75.71873994,1067
20--245,2020/01/06,8:40 AM,KIRKWOOD AVE btwn COLDREY AVE & LAPERRIERE AVE (__3ZA3AI),__3ZA3AI,04 - At/near private drive,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,3,0,0,0,,0,,,,,364461.8895,5027083.093,45.38114831,-75.73817543,1068
20--2450,2020/02/16,8:47 PM,PERTH ST btwn SHEA RD & EAGLESON RD (__3ZA4YB),__3ZA4YB,01 - Non intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,07 - Dark,06 - Ice,10 - No control,,1,0,0,0,02 - Minor,1,,1,,,357561.3945,5007004.148,45.20102876,-75.8284173,1069
20--1849,2020/02/07,1:45 PM,BASELINE RD @ NAVAHO DR (0003158),3158,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,3,0,0,0,,0,,,,,363085.7001,5024097.506,45.3544002,-75.75609876,1070
20--2451,2020/02/16,9:00 PM,RIVER RD btwn LORNE BRIDGE RD & ROGER STEVENS DR (__3ZA2LX),__3ZA2LX,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,373065.0852,5002514.47,45.15930025,-75.6317103,1071
20--2452,2020/02/16,9:23 AM,KINBURN SIDE RD btwn LOGGERS WAY & JOHN SHAW RD (__3ZA4R5),__3ZA4R5,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,329892.4265,5028655.54,45.39738914,-76.17950232,1072
20--2453,2020/02/16,9:42 AM,BELLMAN DR btwn BASIN CRT & GLENCOE ST (__3ZABQ3),__3ZABQ3,01 - Non intersection,03 - P.D. only,01 - Approaching,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,361018.5121,5020944.872,45.32620164,-75.78283842,1073
20--2454,2020/02/16,9:45 AM,SILVER SEVEN RD btwn 280 N OF PALLADIUM DR/COSTCO SC & PALLADIUM DR (__3ZAZH2B),__3ZAZH2B,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,351036.5755,5017902.985,45.29955851,-75.91045115,1074
20--2455,2020/02/17,1:46 PM,EDISON AVE btwn GREENWOOD AVE & TILLBURY AVE (__3ZA0QC),__3ZA0QC,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,363654.7526,5027108.513,45.38144531,-75.74847786,1075
20--2456,2020/02/17,11:22 AM,MONTREAL RD btwn BETHAMY LANE & OGILVIE RD (__3ZA2DX),__3ZA2DX,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,375602.9797,5034523.245,45.44705332,-75.59486208,1076
20--2457,2020/02/17,11:30 AM,HWY417 IC118 RAMP35 btwn HWY417 IC118 RAMP45 & MANN AVE OVERPASS (__3ZAYAW),__3ZAYAW,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,369481.6386,5031006.019,45.41599999,-75.67357011,1077
20--2458,2020/02/17,Unknown,ARLINGTON AVE btwn BOOTH ST & LEBRETON ST N (__3ZBOM0),__3ZBOM0,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,366871.7849,5029720.525,45.40466987,-75.7070745,1078
20--2459,2020/02/17,Unknown,DYNES RD btwn CLAYMOR AVE & MORLEY BLVD (__3ZAAQE),__3ZAAQE,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,366965.2642,5025810.691,45.36948187,-75.70637295,1079
20--246,2020/01/06,8:45 AM,HUNTER'S RUN DR @ JEANNE D'ARC BLVD (0012419),12419,03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,380567.7329,5036174.597,45.46139037,-75.53114763,1080
20--2460,2020/02/17,Unknown,BRITTANY DR btwn ST. LAURENT BLVD & COLEFORD PL (__3ZA8DK),__3ZA8DK,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,03 - Snow,00 - Unknown,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,371367.2393,5034350.311,45.44591358,-75.64902854,1081
20--2461,2020/02/17,Unknown,SHEBA PRIV btwn MART CIRC & END (__3ZBPLV),__3ZBPLV,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,371213.9444,5035178.136,45.45337654,-75.65087623,1082
20--2462,2020/02/17,Unknown,THURSTON DR btwn ST. LAURENT BLVD & THOMAS SPRATT PL (__3ZBO1K),__3ZBO1K,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,373724.918,5027409.574,45.38323576,-75.61986303,1083
20--2463,2020/02/17,Unknown,LEBOUTILLIER AVE btwn DEN HAAG DR & LEBOUTILLIER AVE/DANAC PRIV (__8O98ZL),__8O98ZL,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,372496.696,5034099.314,45.44354676,-75.63462615,1084
20--2464,2020/02/17,12:20 PM,ST. ANDRE DR btwn ST. LOUIS DR & END (__3ZA7J6),__3ZA7J6,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,379643.4164,5038434.07,45.48181898,-75.54262116,1085
20--2465,2020/02/17,2:00 PM,BASELINE RD @ CENTREPOINTE DR W/COBDEN RD (0002108),2108,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,361633.6835,5023207.511,45.34651126,-75.77473164,1086
20--2466,2020/02/17,2:09 AM,NORTH RIVER RD btwn WRIGHT ST & END (__3ZA9OO),__3ZA9OO,01 - Non intersection,03 - P.D. only,07 - SMV other,03 - Snow,07 - Dark,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,370206.2547,5031566.602,45.42097653,-75.66423835,1087
20--2467,2020/02/17,3:10 PM,OTTAWA RIVER PKWY @ ISLAND PARK DR (0002127),2127,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,363298.7038,5029453.559,45.40257548,-75.75274587,1088
20--2468,2020/02/17,3:22 PM,ALBERT ST @ PRESTON ST (0002217),2217,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,366160.6801,5030464.572,45.4114273,-75.71606492,1089
20--2469,2020/02/17,3:28 PM,ISABELLA ST/HWY417 IC119AR75 @ METCALFE ST (0011380),11380,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,368448.7093,5030399.553,45.41063793,-75.6868447,1090
20--247,2020/01/06,8:47 AM,REGIONAL ROAD 174 btwn QUIGLEY HILL RD & REGIONAL ROAD 174 DIVIDED (__3ZA2Y5),__3ZA2Y5,01 - Non intersection,03 - P.D. only,07 - SMV other,04 - Freezing Rain,01 - Daylight,06 - Ice,10 - No control,,1,0,0,0,,0,,,,,387011.5325,5042337.098,45.51610544,-75.44773134,1091
20--2470,2020/02/17,3:48 PM,BRONSON AVE @ CARLING AVE/GLEBE AVE (0002134),2134,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367447.7055,5029335.561,45.40115477,-75.69976713,1092
20--2471,2020/02/17,4:08 PM,SUMMERGAZE ST btwn SHIMMERTON CIR & SUMMITVIEW DR (e___2HSJ),e___2HSJ,04 - At/near private drive,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,356591.099,5015464.355,45.27722778,-75.83988612,1093
20--2472,2020/02/17,4:25 PM,BASELINE RD @ GREENBANK RD (0002357),2357,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,360597.6695,5022584.489,45.3409885,-75.78802171,1094
20--2473,2020/02/17,4:39 PM,WOODROFFE AVE @ KNOXDALE RD/MEDHURST DR (0000519),519,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,3,0,0,0,,0,,,,,363419.6855,5021826.472,45.33393779,-75.75210559,1095
20--2474,2020/02/17,5:05 PM,FALLOWFIELD RD btwn WOODROFFE AVE & VIA PARK PL/275 W OF WOODROFFE AVE (__3ZA3IKD),__3ZA3IKD,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,365041.8214,5017878.167,45.29827389,-75.73189168,1096
20--2475,2020/02/17,5:31 PM,BRONSON AVE btwn BREWER WAY & RIVERSIDE DR RAMPS 34B & 42A-3 (__3ZA3BR),__3ZA3BR,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368396.3151,5027224.967,45.38207874,-75.68792326,1097
20--2476,2020/02/17,5:31 PM,BRONSON AVE btwn BREWER WAY & RIVERSIDE DR RAMPS 34B & 42A-3 (__3ZA3BR),__3ZA3BR,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368401.84,5027214.252,45.38198183,-75.6878541,1098
20--2477,2020/02/17,5:31 PM,BRONSON AVE btwn BREWER WAY & RIVERSIDE DR RAMPS 34B & 42A-3 (__3ZA3BR),__3ZA3BR,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368401.3361,5027215.189,45.38199031,-75.68786042,1099
20--2478,2020/02/17,5:31 PM,BRONSON AVE btwn BREWER WAY & RIVERSIDE DR RAMPS 34B & 42A-3 (__3ZA3BR),__3ZA3BR,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368401.0687,5027215.737,45.38199526,-75.68786376,1100
20--2479,2020/02/17,5:31 PM,BRONSON AVE btwn BREWER WAY & RIVERSIDE DR RAMPS 34B & 42A-3 (__3ZA3BR),__3ZA3BR,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368401.9219,5027214.049,45.38198,-75.68785308,1101
20--185,2020/01/06,12:17 PM,HERON RD @ FINN CRT (0012186),12186,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,370831.4839,5026945.106,45.37933535,-75.65686876,1102
20--1850,2020/02/07,1:50 PM,SMYTH RD/OTHELLO AVE @ RUSSELL RD W (0007730),7730,02 - Intersection related,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,3,0,0,0,,0,,,,,373255.7406,5029373.541,45.40095267,-75.62558102,1103
20--1851,2020/02/07,1:53 PM,COVENTRY RD @ VANIER PKWY (0002139),2139,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,370676.3797,5031611.712,45.4213383,-75.6582257,1104
20--1852,2020/02/07,10:01 AM,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62 (__3ZAZLF),__3ZAZLF,01 - Non intersection,03 - P.D. only,07 - SMV other,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,358902.1092,5021609.165,45.3323453,-75.80976209,1105
20--1853,2020/02/07,10:23 AM,MONTCREST DR @ PRINCESS LOUISE DR (0004822),4822,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,03 - Loose snow,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,384179.7387,5038736.575,45.48403958,-75.48455364,1106
20--1854,2020/02/07,10:45 AM,CATHERINE ST/HWY 417 O'CONN IC119BR76 @ O'CONN (0001697),1697,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,368243.7075,5030392.572,45.41059373,-75.68946437,1107
20--1855,2020/02/07,10:51 AM,BOOTH ST @ SIR JOHN A. MACDONALD PKWY/WELLINGTON ST (0012252),12252,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,05 - Drifting Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,366264.2515,5031006.691,45.41629605,-75.71467423,1108
20--1856,2020/02/07,10:55 PM,BRIDLE PATH DR @ EQUUS WAY E/HUNTER'S POINT CR (0009606),9606,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,03 - Loose snow,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,371620.7273,5023532.511,45.34855518,-75.64725378,1109
20--1857,2020/02/07,10:56 AM,CARLING AVE @ KIRKWOOD AVE N (0002358),2358,03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,364275.6846,5027493.536,45.38485724,-75.74050343,1110
20--1858,2020/02/07,11:16 PM,BRONSON AVE @ GLOUCESTER ST (0005124),5124,02 - Intersection related,03 - P.D. only,03 - Rear end,06 - Strong wind,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,366833.7047,5030792.57,45.4143192,-75.707426,1111
